stellarType,starColor
S2VI,255 196 131
S3Ia0,255 192 118
S3Ia,255 192 118
S3Ib,255 192 118
S3II,255 201 119
S3III,255 200 119
S3IV,255 210 156
S3V,255 206 129
S3VI,255 206 129
S4Ia0,255 185 104
S4Ia,255 185 104
S4Ib,255 185 104
S4II,255 199 114
S4III,255 206 127
S4IV,255 209 155
S4V,255 201 127
S4VI,255 201 127
S5Ia0,255 178 078
S5Ia,255 178 078
S5Ib,255 178 078
S5II,255 197 110
S5III,255 197 124
S5IV,255 209 154
S5V,255 204 111
S5VI,255 204 111
S6Ia0,255 171 052
S6Ia,255 171 052
S6Ib,255 171 052
S6II,255 195 105
S6III,255 178 121
S6IV,255 208 153
S6V,255 195 112
S6VI,255 195 112
S7Ia0,255 164 026
S7Ia,255 164 026
S7Ib,255 164 026
S7II,255 193 100
S7III,255 165 097
S7IV,255 207 152
S7V,255 197 111
S7VI,255 197 111
S8Ia0,255 157 000
S8Ia,255 157 000
S8Ib,255 157 000
S8II,255 192 096
S8III,255 167 097
S8IV,255 206 151
S8V,255 198 109
S8VI,255 198 109
S9Ia0,255 157 000
S9Ia,255 157 000
S9Ib,255 157 000
S9II,255 190 091
S9III,255 233 154
S9IV,255 205 150
S9V,255 198 108
S9VI,255 198 108
DA0,155 178 255
DA1,159 181 255
DA2,168 189 255
DA3,179 197 255
DA4,192 207 255
DA5,207 218 255
DA6,224 230 255
DA7,243 243 255
DA8,255 247 245
DA9,255 239 225
DB0,155 178 255
DB1,159 181 255
DB2,168 189 255
DB3,179 197 255
DB4,192 207 255
DB5,207 218 255
DB6,224 230 255
DB7,243 243 255
DB8,255 247 245
DB9,255 239 225
DC0,155 178 255
DC1,159 181 255
DC2,168 189 255
DC3,179 197 255
DC4,192 207 255
DC5,207 218 255
DC6,224 230 255
DC7,243 243 255
DC8,255 247 245
DC9,255 239 225
DO0,155 178 255
DO1,159 181 255
DO2,168 189 255
DO3,179 197 255
DO4,192 207 255
DO5,207 218 255
DO6,224 230 255
DO7,243 243 255
DO8,255 247 245
DO9,255 239 225
DQ0,155 178 255
DQ1,159 181 255
DQ2,168 189 255
DQ3,179 197 255
DQ4,192 207 255
DQ5,207 218 255
DQ6,224 230 255
DQ7,243 243 255
DQ8,255 247 245
DQ9,255 239 225
DZ0,155 178 255
DZ1,159 181 255
DZ2,168 189 255
DZ3,179 197 255
DZ4,192 207 255
DZ5,207 218 255
DZ6,224 230 255
DZ7,243 243 255
DZ8,255 247 245
DZ9,255 239 225
